,6314,6614,208,6410,312,412,1002,6616,6318,872,212,414,6620,6214,1006,6320,808,416,6624,6324,6216
Mount Olive,,,,,,,,,,6.56,,,,,,,,,,,
Netcong,,,,,,,,,,7.01,,,,,,,,,,,
Lake Hopatcong,,,,,,,6.42,,,7.05,,,,,7.19,,7.41,,,,
Mount Arlington,,,,,,,6.46,,,7.09,,,,,7.23,,7.45,,,,
DOVER,,6.44,,,,,6.54,7.04,,7.17,,,7.33,,7.31,,7.54,,8.08,,
Denville,,6.52,,,,,7.01,7.12,,7.24,,,7.41,,7.38,,8.00,,8.15,,
Mount Tabor,,,,,,,,,,7.27,,,,,,,8.03,,8.17,,
Morris Plains,,6.59,,,,,,7.19,,7.34,,,7.48,,,,8.10,,8.23,,
Morristown,,7.03,,,,,,7.24,,7.38,,,7.52,,,,8.14,,8.28,,
Convent,,7.07,,,,,,7.28,,7.43,,,7.56,,,,8.18,,8.32,,
Madison,,7.12,,,,,,7.32,,7.47,,,8.01,,,,8.22,,8.37,,
Chatham,,7.16,,,,,,7.37,,7.51,,,8.06,,,,8.26,,8.41,,
GLADSTONE,,,,6.33,,6.50,,,,,,7.19,,,,,,7.51,,,
Peapack,,,,6.37,,6.54,,,,,,7.23,,,,,,7.55,,,
Far Hills,,,,6.41,,6.59,,,,,,7.28,,,,,,7.59,,,
Bernardsville,,,,6.49,,7.05,,,,,,7.34,,,,,,8.06,,,
Basking Ridge,,,,6.52,,7.08,,,,,,7.37,,,,,,8.08,,,
Lyons,,,,6.56,,7.12,,,,,,7.41,,,,,,8.11,,,
Millington,,,,7.00,,7.15,,,,,,7.44,,,,,,8.14,,,
Stirling,,,,7.03,,7.18,,,,,,7.47,,,,,,8.18,,,
Gillette,,,,7.06,,7.21,,,,,,7.50,,,,,,8.21,,,
Berkeley Heights,,,,7.10,,7.24,,,,,,7.53,,,,,,8.24,,,
Murray Hill,,,,7.15,,7.28,,,,,,7.58,,,,,,8.29,,,
New Providence,,,,7.19,,7.32,,,,,,8.01,,,,,,8.32,,,
Summit,,,,7.25,,7.36,,7.44,,7.57,,8.06,8.12,,,,8.32,8.37,8.47,,
Short Hills,,,,7.33,,7.42,,,,8.03,,,,,,8.25,,8.42,8.52,,
Millburn,7.21,,,,,7.45,,7.51,,8.06,,,,,,8.29,,8.45,8.55,,
Maplewood,7.27,,,,7.45,,,,8.00,,,8.14,,,,8.33,8.41,,,9.03,
South Orange,,7.32,,,7.49,,,,8.05,,,8.17,8.24,,,8.37,8.44,,,9.07,
Mountain Station,,,,,7.52,,,,,,,8.21,,,,,8.46,,,,
Highland Avenue,,,,,7.55,,,,,,,,,,,,8.49,,,,
Orange,,,,,7.58,,,,,,,,,,,8.42,8.52,,,9.12,
Brick Church,,,,7.44,8.01,,,,8.12,,,,,,,8.45,8.54,,,9.16,
East Orange,,,,,8.04,,,,,,,,,,,,8.57,,,,
Newark Broad Street,,7.41,7.44,,8.09,7.57,8.00,8.04,,8.18,8.21,8.28,,8.37,8.44,8.51,9.02,8.57,9.07,9.21,9.26
HOBOKEN,,,8.00,,8.27,8.13,8.17,,,8.34,8.37,8.44,,,9.02,,9.20,9.13,,,
Secaucus Junction,7.48,,,,,,,,,,,,,,,,,,9.18,,9.38
NEW YORK,8.02,8.04,,8.12,,,,8.29,8.39,,,,8.55,8.59,,9.12,,,9.31,9.42,9.51
