,1605,1651,1607,1611,1613,1617,1621,1653,1623,1625,1627,1629,1631,1633,1635,1637,1641,1643,1645,1647,2101
NEW YORK,8.46,9.22,9.46,11.06,12.12,13.40,14.51,15.07,15.56,16.30,16.50,17.25,17.29,17.50,18.04,18.41,19.20,20.07,21.35,23.06,12.34
Secaucus Junction,9.07,9.44,10.08,11.28,12.40,13.59,15.13,15.24,16.14,16.49,17.12,17.43,17.48,18.09,18.28,18.58,19.39,20.33,21.54,23.23,12.55
Wood-Ridge,9.16,,10.17,11.37,12.50,14.08,,15.34,16.23,16.59,17.22,,17.58,18.18,18.38,19.08,19.49,20.42,22.04,23.32,13.04
Teterboro,,,10.20,11.44,12.54,14.11,,15.40,16.27,17.02,17.25,,18.02,18.22,18.41,19.12,19.52,20.45,22.07,23.36,13.07
Essex Street,9.21,,10.23,11.47,12.57,14.14,,15.43,16.30,17.05,17.28,,18.06,18.25,18.45,19.15,19.55,20.48,22.10,23.39,13.10
Anderson Street,9.24,9.58,10.26,11.50,13.00,14.17,,15.46,16.33,17.08,17.31,,18.10,18.29,18.48,19.18,19.58,20.51,22.13,23.42,13.13
New Bridge Landing,9.30,10.01,10.29,11.53,13.03,14.20,,15.49,16.36,17.12,17.35,,18.14,18.33,18.52,19.22,20.01,20.55,22.16,23.45,13.16
River Edge,9.35,,10.33,11.57,13.07,14.25,15.31,,16.40,17.16,17.39,,18.19,18.38,18.57,19.26,20.06,20.59,22.20,23.49,13.21
Oradell,9.38,,10.37,12.00,13.10,14.28,15.35,,16.43,17.20,17.43,,18.22,18.41,19.01,19.30,20.09,21.02,22.24,23.52,13.24
Emerson,9.41,,10.40,12.04,13.14,14.31,15.38,,16.47,17.23,17.46,,18.26,18.45,19.04,19.33,20.12,21.05,22.27,23.56,13.27
Westwood,9.44,,10.43,12.07,13.17,14.34,15.42,,16.50,17.27,17.49,,18.30,18.49,19.08,19.37,20.15,21.08,22.30,23.59,13.29
Hillsdale,9.47,,10.46,12.10,13.20,14.37,15.45,,16.53,17.30,17.52,,18.33,18.52,19.11,19.40,20.18,21.11,22.33,12.02,13.32
Woodcliff Lake,,,,,13.23,14.40,15.48,,16.56,17.33,17.55,,18.37,18.55,19.15,19.43,20.21,21.14,22.36,12.05,13.35
Park Ridge,9.52,,10.50,12.14,13.25,14.42,15.50,,16.58,17.35,17.58,,18.40,18.58,19.17,19.46,20.24,21.17,22.38,12.07,13.38
"Montvale, NJ",9.54,,10.53,12.16,13.27,14.44,15.53,,17.01,17.38,18.00,,18.42,19.01,19.20,19.49,20.26,21.19,22.41,12.09,13.40
"Pearl River, NY",9.57,,10.56,12.20,13.30,14.48,15.56,,17.04,17.41,18.03,18.15,18.46,19.04,19.24,19.52,20.29,21.22,22.44,12.13,13.44
"Nanuet, NY",10.02,,11.05,12.30,13.40,14.56,16.04,,17.09,17.46,18.08,18.20,18.51,19.09,19.29,19.57,20.34,21.27,22.49,12.17,13.48
SPRING VALLEY,10.10,,11.12,12.38,13.49,15.04,16.10,,17.15,17.52,18.14,18.26,18.56,19.15,19.34,20.03,20.40,21.33,22.55,12.23,13.56
